source,source_description,raw_node_id,raw_label,raw_domain_style,harmonised_node_id,harmonised_node,integrated_domain,mapping_status,mapping_note
EXP,expert-derived generic CLD,EX01,Ocean acidification,driver,N02,Ocean acidification,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX02,Ocean warming,driver,N01,Ocean warming / temperature rise,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX03,Atmospheric warming,driver,N01,Ocean warming / temperature rise,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX04,Rainfall,driver,N04,Extreme rainfall,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX05,Sea level rise,driver,N03,Sea-level rise,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX06,Tropical cyclone,driver,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX07,Wind,driver,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX08,Aragonite saturation,hazard,N02,Ocean acidification,Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX09,Coral bleaching,pressure,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX10,Seagrass loss,pressure,N11,Seagrass condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX11,Mangrove loss,pressure,N12,Mangrove condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX12,Shoreline changes,hazard,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX13,Storm surge,hazard,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX14,Ocean salinity,hazard,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX15,Coral mortality,pressure,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX16,Sedimentation,hazard,N08,Sedimentation / turbidity,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX17,Salt-water intrusion,hazard,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX18,Coastal erosion,hazard,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX19,Turbidity,hazard,N08,Sedimentation / turbidity,Coastal hazards and water quality,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX20,Coral growth,habitat,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX21,Coral cover,habitat,N10,Coral reef condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX22,Seagrass cover,habitat,N11,Seagrass condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX23,Mangrove cover,habitat,N12,Mangrove condition,Coastal ecosystem condition,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX24,Seaweed disease,pressure,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX25,Seaweed farming,livelihood,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX26,Rice farming,pressure,N25,Agricultural / farm expansion,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX27,Fish nurseries,benefit,N14,Fish population / biomass,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX28,Fishing effort,pressure,N21,Fishing pressure / effort,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX29,Seaweed production,livelihood,N16,Seaweed production / yield,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX30,Mangrove restoration,governance,N29,Habitat restoration and protection,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX31,Tourism,livelihood,N18,Tourism and cultural attractiveness,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX32,Cumulative pressure,pressure,EXCLUDED,Not retained in integrated register,Not retained,not_retained_or_requires_review,Context-specific or ambiguous term not retained in the present integrated 32-node register; review if a finer-resolution model is required.
EXP,expert-derived generic CLD,EX33,Fish biomass,benefit,N14,Fish population / biomass,Biodiversity and ecological benefits,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX34,CPUE,benefit,N17,Fish catch / CPUE,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation from source-specific term to integrated node.
EXP,expert-derived generic CLD,EX35,Social well-being,outcome,N20,Social well-being,Livelihoods and well-being,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX36,Beekeeping,livelihood,N31,Alternative livelihood opportunities,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX37,Sea cucumber farming,livelihood,N31,Alternative livelihood opportunities,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX38,Exposure,hazard,N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX39,Coral restoration,governance,N29,Habitat restoration and protection,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX40,Sensitivity,hazard,N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX41,Seagrass restoration,governance,N29,Habitat restoration and protection,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX42,Bait digging,pressure,N24,Bait digging / bait extraction,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX43,Human population,driver,N26,Population growth / immigration,Local human pressures,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
EXP,expert-derived generic CLD,EX44,Climate resilience,outcome,N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM01,Wind speed,driver,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,retained_in_integrated_register,Curated semantic harmonisation; term is source-specific or mechanistic and was collapsed into the integrated construct.
