source,source_description,raw_link_id,from_raw_id,from_raw_label,to_raw_id,to_raw_label,polarity,polarity_description,transcription_status,verification_note,tikz_routing_note,from_node_id,from_node,from_domain,to_node_id,to_node,to_domain,mapping_result,exclusion_reason
EXP,expert-derived generic CLD,EXE01,EX01,Ocean acidification,EX08,Aragonite saturation,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N02,Ocean acidification,Climate and ocean drivers,N02,Ocean acidification,Climate and ocean drivers,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE03,EX20,Coral growth,EX21,Coral cover,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE05,EX09,Coral bleaching,EX15,Coral mortality,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE06,EX15,Coral mortality,EX21,Coral cover,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE14,EX06,Tropical cyclone,EX13,Storm surge,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE15,EX06,Tropical cyclone,EX07,Wind,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE19,EX12,Shoreline changes,EX18,Coastal erosion,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE20,EX16,Sedimentation,EX19,Turbidity,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,bend left=12,N08,Sedimentation / turbidity,Coastal hazards and water quality,N08,Sedimentation / turbidity,Coastal hazards and water quality,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE25,EX24,Seaweed disease,EX29,Seaweed production,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N16,Seaweed production / yield,Livelihoods and well-being,N16,Seaweed production / yield,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE26,EX10,Seagrass loss,EX22,Seagrass cover,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N11,Seagrass condition,Coastal ecosystem condition,N11,Seagrass condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE27,EX11,Mangrove loss,EX23,Mangrove cover,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N12,Mangrove condition,Coastal ecosystem condition,N12,Mangrove condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE30,EX27,Fish nurseries,EX33,Fish biomass,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N14,Fish population / biomass,Biodiversity and ecological benefits,N14,Fish population / biomass,Biodiversity and ecological benefits,both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE48,EX38,Exposure,EX40,Sensitivity,+,same-direction effect,verify,Verify direction and polarity against the original edge list/model before publication.,NA,N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",both_endpoints_retained,source and target collapse to the same harmonised node
EXP,expert-derived generic CLD,EXE49,EX40,Sensitivity,EX44,Climate resilience,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",N32,Climate resilience / adaptive capacity,"Governance, responses and resilience",both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME04,PM03,Sea level rise,PM08,Spring tidal shift,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N03,Sea-level rise,Climate and ocean drivers,N03,Sea-level rise,Climate and ocean drivers,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME18,PM18,Indigenous trees,PM12,Coastal forest cover,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N13,Coastal forest condition,Coastal ecosystem condition,N13,Coastal forest condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME19,PM25,Coral bleaching,PM19,Coral cover decline,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME20,PM29,Fungal diseases,PM19,Coral cover decline,+,same-direction effect,verify,Verify direction and polarity against the original edge list/model before publication.,bend left=16,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME22,PM19,Coral cover decline,PM30,Coral reef,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME36,PM16,Beaches and ruins,PM22,Tourism,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N18,Tourism and cultural attractiveness,Livelihoods and well-being,N18,Tourism and cultural attractiveness,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME40,PM39,Cultural activities,PM22,Tourism,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,bend left=12,N18,Tourism and cultural attractiveness,Livelihoods and well-being,N18,Tourism and cultural attractiveness,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME41,PM40,"Stability, advertisement and attraction",PM22,Tourism,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N18,Tourism and cultural attractiveness,Livelihoods and well-being,N18,Tourism and cultural attractiveness,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME51,PM41,Number of farmers,PM35,Seaweed farming,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N16,Seaweed production / yield,Livelihoods and well-being,N16,Seaweed production / yield,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PME53,PM36,Decline in seaweed yield,PM35,Seaweed farming,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N16,Seaweed production / yield,Livelihoods and well-being,N16,Seaweed production / yield,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE02,CO07,Coral bleaching,CO13,Coral mortality,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE03,CO13,Coral mortality,CO19,Coral cover,-,opposite-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE04,CO19,Coral cover,CO25,Coral reef condition,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N10,Coral reef condition,Coastal ecosystem condition,N10,Coral reef condition,Coastal ecosystem condition,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE16,CO08,Loss of seaweed farms,CO22,Decline seaweed yields,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N16,Seaweed production / yield,Livelihoods and well-being,N16,Seaweed production / yield,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE17,CO21,Seaweed bleaching,CO22,Decline seaweed yields,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N16,Seaweed production / yield,Livelihoods and well-being,N16,Seaweed production / yield,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE28,CO06,Coastal erosion,CO12,Beaches decline,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE31,CO30,Ruins,CO36,Tourism,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N18,Tourism and cultural attractiveness,Livelihoods and well-being,N18,Tourism and cultural attractiveness,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE37,CO44,Demand for illegally caught fish,CO32,Illegal fishing practices,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N22,Illegal / unregulated fishing,Local human pressures,N22,Illegal / unregulated fishing,Local human pressures,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE38,CO39,Foreign fishers unaware of park regulations,CO32,Illegal fishing practices,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N22,Illegal / unregulated fishing,Local human pressures,N22,Illegal / unregulated fishing,Local human pressures,both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE40,CO37,Bribery,CO38,Ineffective MCS,+,same-direction effect,supported,Supported by legible pathway in supplied source image.,NA,N27,Governance and enforcement effectiveness,"Governance, responses and resilience",N27,Governance and enforcement effectiveness,"Governance, responses and resilience",both_endpoints_retained,source and target collapse to the same harmonised node
COM,community participatory CLD (Figure 2; confirmed attribution),COE45,CO28,Household income,CO33,Economic motivation,-,opposite-direction effect,verify,Verify direction and polarity against the original edge list/model before publication.,bend right=14,N19,Household income / employment,Livelihoods and well-being,N19,Household income / employment,Livelihoods and well-being,both_endpoints_retained,source and target collapse to the same harmonised node
