source,source_description,raw_link_id,from_raw_id,from_raw_label,to_raw_id,to_raw_label,polarity,polarity_description,transcription_status
EXP,expert-derived generic CLD,EXE01,EX01,Ocean acidification,EX08,Aragonite saturation,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE02,EX08,Aragonite saturation,EX20,Coral growth,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE03,EX20,Coral growth,EX21,Coral cover,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE04,EX02,Ocean warming,EX09,Coral bleaching,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE05,EX09,Coral bleaching,EX15,Coral mortality,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE06,EX15,Coral mortality,EX21,Coral cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE07,EX02,Ocean warming,EX10,Seagrass loss,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE08,EX02,Ocean warming,EX11,Mangrove loss,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE09,EX03,Atmospheric warming,EX11,Mangrove loss,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE10,EX04,Rainfall,EX16,Sedimentation,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE11,EX04,Rainfall,EX17,Salt-water intrusion,+,same-direction effect,verify
EXP,expert-derived generic CLD,EXE12,EX05,Sea level rise,EX12,Shoreline changes,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE13,EX05,Sea level rise,EX17,Salt-water intrusion,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE14,EX06,Tropical cyclone,EX13,Storm surge,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE15,EX06,Tropical cyclone,EX07,Wind,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE16,EX07,Wind,EX18,Coastal erosion,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE17,EX13,Storm surge,EX17,Salt-water intrusion,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE18,EX13,Storm surge,EX18,Coastal erosion,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE19,EX12,Shoreline changes,EX18,Coastal erosion,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE20,EX16,Sedimentation,EX19,Turbidity,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE21,EX16,Sedimentation,EX21,Coral cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE22,EX16,Sedimentation,EX22,Seagrass cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE23,EX16,Sedimentation,EX24,Seaweed disease,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE24,EX14,Ocean salinity,EX25,Seaweed farming,-,opposite-direction effect,verify
EXP,expert-derived generic CLD,EXE25,EX24,Seaweed disease,EX29,Seaweed production,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE26,EX10,Seagrass loss,EX22,Seagrass cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE27,EX11,Mangrove loss,EX23,Mangrove cover,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE28,EX22,Seagrass cover,EX27,Fish nurseries,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE29,EX23,Mangrove cover,EX27,Fish nurseries,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE30,EX27,Fish nurseries,EX33,Fish biomass,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE31,EX28,Fishing effort,EX33,Fish biomass,-,opposite-direction effect,supported
EXP,expert-derived generic CLD,EXE32,EX33,Fish biomass,EX34,CPUE,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE33,EX34,CPUE,EX35,Social well-being,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE34,EX29,Seaweed production,EX35,Social well-being,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE35,EX31,Tourism,EX35,Social well-being,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE36,EX36,Beekeeping,EX35,Social well-being,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE37,EX37,Sea cucumber farming,EX35,Social well-being,+,same-direction effect,supported
EXP,expert-derived generic CLD,EXE38,EX30,Mangrove restoration,EX23,Mangrove cover,+,same-direction effect,supported
