source,source_description,raw_node_id,raw_label,raw_domain_style
EXP,expert-derived generic CLD,EX01,Ocean acidification,driver
EXP,expert-derived generic CLD,EX02,Ocean warming,driver
EXP,expert-derived generic CLD,EX03,Atmospheric warming,driver
EXP,expert-derived generic CLD,EX04,Rainfall,driver
EXP,expert-derived generic CLD,EX05,Sea level rise,driver
EXP,expert-derived generic CLD,EX06,Tropical cyclone,driver
EXP,expert-derived generic CLD,EX07,Wind,driver
EXP,expert-derived generic CLD,EX08,Aragonite saturation,hazard
EXP,expert-derived generic CLD,EX09,Coral bleaching,pressure
EXP,expert-derived generic CLD,EX10,Seagrass loss,pressure
EXP,expert-derived generic CLD,EX11,Mangrove loss,pressure
EXP,expert-derived generic CLD,EX12,Shoreline changes,hazard
EXP,expert-derived generic CLD,EX13,Storm surge,hazard
EXP,expert-derived generic CLD,EX14,Ocean salinity,hazard
EXP,expert-derived generic CLD,EX15,Coral mortality,pressure
EXP,expert-derived generic CLD,EX16,Sedimentation,hazard
EXP,expert-derived generic CLD,EX17,Salt-water intrusion,hazard
EXP,expert-derived generic CLD,EX18,Coastal erosion,hazard
EXP,expert-derived generic CLD,EX19,Turbidity,hazard
EXP,expert-derived generic CLD,EX20,Coral growth,habitat
EXP,expert-derived generic CLD,EX21,Coral cover,habitat
EXP,expert-derived generic CLD,EX22,Seagrass cover,habitat
EXP,expert-derived generic CLD,EX23,Mangrove cover,habitat
EXP,expert-derived generic CLD,EX24,Seaweed disease,pressure
EXP,expert-derived generic CLD,EX25,Seaweed farming,livelihood
EXP,expert-derived generic CLD,EX26,Rice farming,pressure
EXP,expert-derived generic CLD,EX27,Fish nurseries,benefit
EXP,expert-derived generic CLD,EX28,Fishing effort,pressure
EXP,expert-derived generic CLD,EX29,Seaweed production,livelihood
EXP,expert-derived generic CLD,EX30,Mangrove restoration,governance
EXP,expert-derived generic CLD,EX31,Tourism,livelihood
EXP,expert-derived generic CLD,EX32,Cumulative pressure,pressure
EXP,expert-derived generic CLD,EX33,Fish biomass,benefit
EXP,expert-derived generic CLD,EX34,CPUE,benefit
EXP,expert-derived generic CLD,EX35,Social well-being,outcome
EXP,expert-derived generic CLD,EX36,Beekeeping,livelihood
EXP,expert-derived generic CLD,EX37,Sea cucumber farming,livelihood
EXP,expert-derived generic CLD,EX38,Exposure,hazard
EXP,expert-derived generic CLD,EX39,Coral restoration,governance
EXP,expert-derived generic CLD,EX40,Sensitivity,hazard
EXP,expert-derived generic CLD,EX41,Seagrass restoration,governance
EXP,expert-derived generic CLD,EX42,Bait digging,pressure
EXP,expert-derived generic CLD,EX43,Human population,driver
EXP,expert-derived generic CLD,EX44,Climate resilience,outcome
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM01,Wind speed,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM02,Temperature rise,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM03,Sea level rise,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM04,Changes in wind pattern,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM05,Cyclones,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM06,Ocean salinity,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM07,Ocean acidification,driver
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM08,Spring tidal shift,hazard
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM09,Coastal erosion,hazard
PM,park-manager participatory CLD (Figure 1; confirmed attribution),PM10,Sand deposition,hazard
