candidate_link_id,from_node_id,from_node,from_domain,to_node_id,to_node,to_domain,polarity,sources,n_sources,source_scope,n_raw_links,supporting_raw_link_ids,transcription_status,any_verification_flag,raw_relationships,polarity_conflict,review_priority,review_status,final_polarity,review_reason,evidence_status
CL001,N01,Ocean warming / temperature rise,Climate and ocean drivers,N03,Sea-level rise,Climate and ocean drivers,+,PM,1,one source,1,PME03,verify,TRUE,PM: Temperature rise -> Sea level rise,FALSE,high: source transcription requires verification,,+,,requires_review
CL002,N01,Ocean warming / temperature rise,Climate and ocean drivers,N10,Coral reef condition,Coastal ecosystem condition,+,EXP; PM; COM,3,all three sources,3,COE01; EXE04; PME02,supported,FALSE,COM: Temperature rise -> Coral bleaching | EXP: Ocean warming -> Coral bleaching | PM: Temperature rise -> Coral bleaching,FALSE,standard,,+,,supported_in_transcribed_sources
CL003,N01,Ocean warming / temperature rise,Climate and ocean drivers,N11,Seagrass condition,Coastal ecosystem condition,+,EXP,1,one source,1,EXE07,supported,FALSE,EXP: Ocean warming -> Seagrass loss,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL004,N01,Ocean warming / temperature rise,Climate and ocean drivers,N12,Mangrove condition,Coastal ecosystem condition,+,EXP,1,one source,2,EXE08; EXE09,supported,FALSE,EXP: Atmospheric warming -> Mangrove loss | EXP: Ocean warming -> Mangrove loss,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL005,N02,Ocean acidification,Climate and ocean drivers,N10,Coral reef condition,Coastal ecosystem condition,+,EXP; PM,2,two sources,2,EXE02; PME13,supported,FALSE,EXP: Aragonite saturation -> Coral growth | PM: Ocean acidification -> Coral cover decline,FALSE,standard,,+,,supported_in_transcribed_sources
CL006,N03,Sea-level rise,Climate and ocean drivers,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,+,EXP,1,one source,1,EXE13,supported,FALSE,EXP: Sea level rise -> Salt-water intrusion,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL007,N03,Sea-level rise,Climate and ocean drivers,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,+,EXP; PM,2,two sources,2,EXE12; PME05,supported,FALSE,EXP: Sea level rise -> Shoreline changes | PM: Sea level rise -> Coastal erosion,FALSE,standard,,+,,supported_in_transcribed_sources
CL008,N03,Sea-level rise,Climate and ocean drivers,N12,Mangrove condition,Coastal ecosystem condition,+,PM,1,one source,1,PME06,supported,FALSE,PM: Sea level rise -> Mangrove cover decline,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL009,N04,Extreme rainfall,Climate and ocean drivers,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,+,EXP,1,one source,1,EXE11,verify,TRUE,EXP: Rainfall -> Salt-water intrusion,FALSE,high: source transcription requires verification,,+,,requires_review
CL010,N04,Extreme rainfall,Climate and ocean drivers,N08,Sedimentation / turbidity,Coastal hazards and water quality,+,EXP; COM,2,two sources,2,COE11; EXE10,supported,FALSE,COM: Heavy rainfall -> Sediment load | EXP: Rainfall -> Sedimentation,FALSE,standard,,+,,supported_in_transcribed_sources
CL011,N05,Rufiji River discharge / runoff,Climate and ocean drivers,N08,Sedimentation / turbidity,Coastal hazards and water quality,+,PM,1,one source,1,PME47,verify,TRUE,PM: Rufiji river discharge -> Sedimentation (local),FALSE,high: source transcription requires verification,,+,,requires_review
CL012,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N07,Salinity intrusion / salinity change,Coastal hazards and water quality,+,EXP,1,one source,1,EXE17,supported,FALSE,EXP: Storm surge -> Salt-water intrusion,FALSE,moderate: single-source relationship,,+,,supported_in_transcribed_sources
CL013,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N09,Coastal erosion / beach and shoreline loss,Coastal hazards and water quality,+,EXP; PM; COM,3,all three sources,6,COE09; EXE16; EXE18; PME07; PME08; PME09,supported,FALSE,COM: Cyclone -> Coastal erosion | EXP: Storm surge -> Coastal erosion | EXP: Wind -> Coastal erosion | PM: Changes in wind pattern -> Coastal erosion | PM: Changes in wind pattern -> Sand deposition | PM: Cyclones -> Coastal erosion,FALSE,standard,,+,,supported_in_transcribed_sources
CL014,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N10,Coral reef condition,Coastal ecosystem condition,-,COM,1,one source,1,COE10,verify,TRUE,COM: Cyclone -> Coral cover,FALSE,high: source transcription requires verification,,-,,requires_review
CL015,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N11,Seagrass condition,Coastal ecosystem condition,+,COM,1,one source,1,COE54,verify,TRUE,COM: Ocean current -> Seagrasses condition,FALSE,high: source transcription requires verification,,+,,requires_review
CL016,N06,"Cyclones, storm surge and wind shifts",Climate and ocean drivers,N12,Mangrove condition,Coastal ecosystem condition,+,PM,1,one source,1,PME10,verify,TRUE,PM: Cyclones -> Mangrove cover decline,FALSE,high: source transcription requires verification,,+,,requires_review
